type_of_failure,pets,had_failure,carpet_score_mean,carpet_score_count,carpet_score_max,carpet_score_min,carpet_score_std,time_to_failure_mean,time_to_failure_count,time_to_failure_max,time_to_failure_min,time_to_failure_std,total_usage_time_mean,total_usage_time_count,total_usage_time_max,total_usage_time_min,total_usage_time_std
Battery,0,1,2.91725768321513,423,8,1,1.3820995249797037,1162.4444444444443,423,1800,244,329.12747082011634,1241.0685579196218,423,3024,121,473.007076417263
Battery,1,1,3.089775561097257,401,8,1,1.4219424037214892,976.209476309227,401,1803,272,309.2603773682867,2019.3790523690773,401,3731,40,674.1993629187882
Battery_and_Impact,1,1,3.5,2,4,3,0.7071067811865476,1151.0,2,1427,875,390.32294321497426,2710.0,2,2966,2454,362.03867196751236
Censored,0,0,2.6954732510288064,2916,8,1,1.3417149680707015,-1.0,2916,-1,-1,0.0,785.9348422496571,2916,3040,0,552.710517198308
Censored,1,0,2.6224,1250,7,1,1.283563893624003,-1.0,1250,-1,-1,0.0,1180.5248,1250,3631,0,811.5272151454311
Impact,0,1,1.9375,16,4,1,0.9979144919948468,1553.4375,16,1758,1153,178.34123424865416,2112.375,16,2803,1278,399.1843141540843
Impact,1,1,1.9732142857142858,112,5,1,0.9629143210608043,1122.1964285714287,112,1723,495,246.69724083535797,2768.410714285714,112,4019,1421,444.7251718114553
Ir,0,1,2.6315789473684212,152,6,1,1.4267278848127263,519.453947368421,152,1552,9,386.5437072314193,528.0986842105264,152,1904,10,427.3946601151515
Ir,1,1,3.0,76,7,1,1.4329456840136452,469.7368421052632,76,1331,11,347.19636589576805,935.1184210526316,76,3270,20,697.9234526719057
Unknown_Component,0,1,2.7096774193548385,31,6,1,1.3950758255879085,1454.967741935484,31,1812,889,216.50134470267048,1257.4193548387098,31,2725,48,658.854246612686
Unknown_Component,1,1,1.5,8,3,1,0.7559289460184544,1411.625,8,1671,946,226.10928931445014,1980.625,8,3443,912,876.7097479456112
